"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0.000874759169603643,0.536064412841754,0.711,0.411,1,"LPCAT2"
0.000882479609273713,-0.981418217699472,0.204,0.27,1,"MSI2"
0.000883511478497257,1.140188816445,0.535,0.27,1,"GLUD1"
0.000924808304734943,1.10755420231236,0.359,0.16,1,"SCLT1"
0.000944546340405604,0.70062010349369,0.761,0.469,1,"HOOK3"
0.000982742735343909,0.865256780887892,0.662,0.406,1,"RASSF5"
0.00104825561081221,0.915766687825657,0.817,0.709,1,"HSPA1A"
0.00105556501290061,0.811804825228171,0.563,0.298,1,"FBXO11"
0.00105727456001593,0.785645501308457,0.592,0.312,1,"STX6"
0.00105942981448547,0.530264445762182,0.951,0.735,1,"GSTP1"
0.0010618882307057,0.704448966121389,0.5,0.263,1,"JDP2"
0.00108140278439802,0.735085563952824,0.613,0.347,1,"PRNP"
0.00110876393251428,-1.09249602338955,0.338,0.399,1,"ABCA1"
0.00111099774107957,0.503357243049564,0.683,0.486,1,"CYTIP"
0.00113050489897059,0.740021189368988,0.549,0.371,1,"MAP2K3"
0.00114496386987287,0.766807884751771,0.592,0.352,1,"GLO1"
0.00117568134564783,0.644253453704759,0.824,0.636,1,"PABPC4"
0.00119348209587768,0.60176764688915,0.662,0.465,1,"ARL4A"
0.00120089592615388,0.74939768897258,0.599,0.317,1,"MARCH2"
0.00122098262399317,0.513925094786083,0.972,0.803,1,"RGS1"
0.0012212085327651,0.812573979642511,0.838,0.533,1,"LAP3"
0.00123181046281401,0.537401590678842,0.972,0.749,1,"GNAI2"
0.0012400957611638,1.06895777178269,0.528,0.289,1,"NCF2"
0.0012641499560077,0.784283844832474,0.683,0.439,1,"TIPARP"
0.00127456871383207,-0.65748137804473,0.246,0.256,1,"MRC2"
0.00127591741317776,-0.826738902873635,0.197,0.265,1,"CAMK2D"
0.00128201720884337,0.84087145333378,0.415,0.188,1,"RP2"
0.00134958451327838,0.866204587972687,0.542,0.298,1,"JARID2"
0.0013698138993848,0.604783863559322,0.796,0.514,1,"CDC42SE1"
0.0013938698956829,0.681282541609002,0.599,0.343,1,"STX11"
0.00143261142504784,0.793657187973809,0.697,0.458,1,"SUMO3"
0.00149867844899269,0.613351234715771,0.838,0.631,1,"BZW1"
0.00151681561150012,0.709223523628141,0.437,0.225,1,"RARA"
0.00154461956149054,0.506707676029167,0.93,0.751,1,"ATP1B3"
0.00155024283171287,-0.93219010822988,0.296,0.317,1,"WDFY4"
0.00160040429512158,0.552849955171058,0.669,0.42,1,"KIAA1551"
0.00161062558874776,-0.624555535140012,0.338,0.34,1,"MPEG1"
0.00161441667169101,0.895811043314603,0.641,0.347,1,"TMEM109"
0.00164296535970984,1.26724558112359,0.373,0.155,1,"KCNAB2"
0.0016948324379126,0.584423642406212,0.887,0.662,1,"JMJD1C"
0.00169791340949172,1.07553056049994,0.43,0.235,1,"KLF9"
0.00170710386028111,-0.517029951634065,0.246,0.293,1,"ACO2"
0.00172237042867234,1.32801894104713,0.359,0.157,1,"PALLD"
0.00174306074896808,-0.830919215378755,0.183,0.254,1,"ARSA"
0.00181008004926417,0.568845981158202,0.944,0.723,1,"ARPC5"
0.00181954703019023,0.861518722820611,0.254,0.099,1,"CREB5"
0.0018381374174389,0.629479726200875,0.38,0.183,1,"RASSF3"
0.00192609011993114,-1.10456889635907,0.211,0.277,1,"REXO2"
0.00192615212297833,0.926665262173163,0.669,0.401,1,"SNX10"
0.0019440113199211,-1.16581518520902,0.239,0.329,1,"GNG7"
0.00198953957945443,0.504803562908455,0.993,0.836,1,"PFN1"
0.00205887904880419,1.15130514621963,0.331,0.136,1,"SLAMF8"
0.00209625098983646,0.643803796521021,0.831,0.566,1,"TAF10"
0.00219509534884706,0.573973633213848,0.408,0.2,1,"ELK3"
0.00221239259160412,0.68347749887318,0.894,0.648,1,"PKM"
0.00225814676067123,0.542591660968059,0.887,0.709,1,"ZFAND5"
0.00228749150930823,1.18671686444568,0.472,0.256,1,"PDE4A"
0.00234084451192294,0.523792901045283,0.775,0.617,1,"PTPN1"
0.00237021138587484,0.924679845663132,0.444,0.216,1,"NUP98"
0.00242699357052344,0.976282649614808,0.444,0.237,1,"SLC25A19"
0.00248221991619108,-0.623962776650933,0.676,0.533,1,"PPP1R14B"
0.0025638483329224,-0.580388535097081,0.606,0.601,1,"RABAC1"
0.00258842982866294,-1.80419335181755,0.148,0.272,1,"PIM2"
